職業,総数,男,女,old_title
質屋店主・店員,5646,3127,2519,80質屋店主・店員
外交員商品保険不動産を除く,1282037,1131251,150786,81外交員(商品，保険，不動産を除く)
その他の販売類似職業従事者,250318,115709,134609,82その他の販売類似職業従事者
サービス職業従事者,5619616,1980408,3639208,Eサービス職業従事者
家庭生活支援サービス職業従事者,179190,6606,172584,（22）家庭生活支援サービス職業従事者
家政婦夫家事手伝い,27889,149,27740,83家政婦（夫），家事手伝い
ホームヘルパー,138164,5124,133040,84ホームヘルパー
その他の家庭生活支援サービス職業従事者,13137,1333,11804,85その他の家庭生活支援サービス職業従事者
生活衛生サービス職業従事者,866325,291480,574845,（23）生活衛生サービス職業従事者
理容師助手を含む,250577,135919,114658,86理容師（助手を含む）
美容師助手を含む,420177,71187,348990,87美容師（助手を含む）
浴場従事者,34965,14826,20139,88浴場従事者
クリーニング職洗張職,160606,69548,91058,89クリーニング職，洗張職
飲食物調理従事者,1949255,882929,1066326,（24）飲食物調理従事者
調理人,1935432,870853,1064579,90調理人
バーテンダー,13823,12076,1747,91バーテンダー
接客・給仕職業従事者,1666551,457828,1208723,（25）接客・給仕職業従事者
飲食物給仕・身の回り世話従事者,1113159,230979,882180,92飲食物給仕・身の回り世話従事者
接客社交従事者,72131,4867,67264,93接客社交従事者
芸者ダンサー,7181,272,6909,94芸者，ダンサー
娯楽場等接客員,428620,191011,237609,95娯楽場等接客員
旅館主・支配人・番頭,45460,30699,14761,96旅館主・支配人・番頭
居住施設・ビル等管理人,252941,160458,92483,（26）居住施設・ビル等管理人
マンション・アパート・下宿・寄宿舎・寮管理人,128699,65029,63670,97マンション・アパート・下宿・寄宿舎・寮管理人
ビル管理人,66258,50401,15857,98ビル管理人
駐車場管理人,57984,45028,12956,99駐車場管理人
その他のサービス職業従事者,705354,181107,524247,（27）その他のサービス職業従事者
旅行・観光案内人,24404,11937,12467,100旅行・観光案内人
物品一時預り人,8804,6178,2626,101物品一時預り人
物品賃貸人,64048,36345,27703,102物品賃貸人
広告宣伝員,61509,6127,55382,103広告宣伝員
葬儀師火葬作業員,29983,21330,8653,104葬儀師，火葬作業員
介護職員治療施設福祉施設,358305,66701,291604,105介護職員（治療施設，福祉施設）
他に分類されないサービス職業従事者,158301,32489,125812,106他に分類されないサービス職業従事者
保安職業従事者,1013920,962743,51177,F保安職業従事者
保安職業従事者,1013920,962743,51177,（28）保安職業従事者
自衛官,245134,233083,12051,107自衛官
警察官海上保安官,245994,232586,13408,108警察官，海上保安官
看守その他の司法警察職員,15409,14634,775,109看守，その他の司法警察職員
消防員,147418,145949,1469,110消防員
警備員,297207,284412,12795,111警備員
その他の保安職業従事者,62758,52079,10679,112その他の保安職業従事者
農林漁業作業者,3174286,1815021,1359265,G農林漁業作業者
農業作業者,2866662,1571005,1295657,（29）農業作業者
農耕・養蚕作業者,2521131,1327481,1193650,113農耕・養蚕作業者
養畜作業者,215226,128538,86688,114養畜作業者
植木職造園師,123978,110298,13680,115植木職，造園師
その他の農業作業者,6327,4688,1639,116その他の農業作業者
林業作業者,67558,59552,8006,（30）林業作業者
育林作業者,41915,36135,5780,117育林作業者
伐木・造材作業者,17363,16346,1017,118伐木・造材作業者
集材・運材作業者,3251,2974,277,119集材・運材作業者
製炭・製薪作業者,1985,1528,457,120製炭・製薪作業者
その他の林業作業者,3044,2569,475,121その他の林業作業者
