職業,総数,男,女,old_title
その他の漁業作業者,23485,3410,20075,120その他の漁業作業者
採掘作業者,139170,132005,7165,Ｉ－１採掘作業者
採掘作業者,139170,132005,7165,(37)採掘作業者
採鉱員,16330,15955,375,137採鉱員
採炭員,36460,36460,0,138採炭員
石切出作業員,13090,12155,935,139石切出作業員
砂利・砂・粘土採取作業者,12870,11340,1530,140砂利・砂・粘土採取作業者
支柱員,11550,11550,0,141支柱員
坑内運搬員,8075,8075,0,142坑内運搬員
選鉱員，選炭員,8130,5325,2805,143選鉱員，選炭員
他の採掘作業者,32665,31145,1520,他の採掘作業者
Ｈ運輸・通信従事者,2325425,2100270,225155,Ｈ運輸・通信従事者
鉄道運転従事者,1685925,1674095,11830,(32)鉄道運転従事者
電気・ディーゼル・蒸気機関士,46345,46345,0,121電気・ディーゼル・蒸気機関士
電車・気動車運転士,33640,33640,0,122電車・気動車運転士
自動車運転者,1605940,1594110,11830,123自動車運転者
船舶・航空機運転従事者,75480,73520,1960,(34)船舶・航空機運転従事者
船長・航海士・運転士漁ろう船を除く，水先人,39190,38985,205,124船長・航海士・運転士(漁ろう船を除く)，水先人
船舶機関長・機関士漁ろう船を除く,33345,31590,1755,125船舶機関長・機関士(漁ろう船を除く)
航空機操縦士，航空機関士,2945,2945,0,126航空機操縦士，航空機関士
その他の運輸従事者,269355,213980,55375,(35)その他の運輸従事者
車掌,103200,50475,52725,127車掌
操車掛，信号掛，転てつ手，連結手,51645,51645,0,128操車掛，信号掛，転てつ手，連結手
甲板員・船舶技士,55490,54405,1085,129甲板員・船舶技士
船舶機関員,15980,15720,260,130船舶機関員
他に分類されない運輸従事者,43040,41735,1305,131他に分類されない運輸従事者
通信従事者,294665,138675,155990,(36)通信従事者
無線通信・無線技術従事者,28945,28125,820,132無線通信・無線技術従事者
有線通信員,26030,17210,8820,133有線通信員
電話交換手,149565,4445,145120,134電話交換手
郵便・電報外務員,85520,85350,170,135郵便・電報外務員
その他の通信従事者,3615,3545,70,136その他の通信従事者
Ｉ技能工，採掘・製造・建設作業者及び労務作業者,16591475,11655050,4936425,Ｉ技能工，採掘・製造・建設作業者及び労務作業者
金属材料製造作業者,450390,420750,29640,(39)金属材料製造作業者
製銑工，製鋼工,63715,62995,720,154製銑工，製鋼工
非鉄金属製錬工,25585,24990,595,155非鉄金属製錬工
鋳物工,132655,119730,12925,156鋳物工
鍛造工,32670,30855,1815,157鍛造工
圧延工,57930,57045,885,159圧延工
伸線工,16695,15610,1085,160伸線工
金属熱処理工,27155,26225,930,158金属熱処理工
その他の金属材料製造作業者,103985,83300,20685,161その他の金属材料製造作業者
金属加工作業者,2275670,1961885,313785,(41)金属加工作業者
金属工作機械工,518295,471090,47205,165金属工作機械工
金属プレス工,209720,165940,43780,166金属プレス工
金属溶接・溶断工,479280,458995,20285,167金属溶接・溶断工
鉄工，びょう打工，製缶工,129265,129265,0,168鉄工，びょう打工，製缶工
板金工,201620,190235,11385,169板金工
金属彫刻工,10620,8530,2090,170金属彫刻工
めっき工,60010,49130,10880,171めっき工
手仕上工,23840,17990,5850,手仕上工
その他の金属加工作業者,643020,470710,172310,172その他の金属加工作業者
一般機械器具組立・修理作業者,517890,474815,43075,(42)一般機械器具組立・修理作業者
一般機械器具組立工,290490,251470,39020,173一般機械器具組立工
一般機械器具修理工,227400,223345,4055,174一般機械器具修理工
電気機械器具組立・修理作業者,935345,447605,487740,(43)電気機械器具組立・修理作業者
