職業,総数,男,女,old_title
総数,55778235,34631463,21146772,総数
専門的・技術的職業従事者,4881251,2757521,2123730,Ａ専門的・技術的職業従事者
科学研究者,66156,62113,4043,(1)科学研究者
自然科学系研究者,63729,60019,3710,1自然科学系研究者
人文・社会科学系研究者,2427,2094,333,2人文・社会科学系研究者
技術者,874141,853798,20343,(2)技術者
鉱山技術者,2796,2783,13,3鉱山技術者
金属製錬技術者,12171,12150,21,4金属製錬技術者
機械技術者,117936,117387,549,5機械技術者
電気・電子技術者,119499,118900,599,6電気・電子技術者
化学技術者,35940,34555,1385,7化学技術者
建築技術者,173537,170222,3315,8建築技術者
土木・測量技術者,178391,177742,649,9土木・測量技術者
農林技術者,57717,56653,1064,10農林技術者
情報処理技術者,129763,118421,11342,11情報処理技術者
保健医療従事者,1311531,410709,900822,(3)保健医療従事者
医師,151762,135469,16293,12医師
歯科医師,52142,45328,6814,13歯科医師
獣医師,13704,13109,595,14獣医師
薬剤師,76129,33255,42874,15薬剤師
助産婦,17097,0,17097,助産婦
保健婦,18825,0,18825,保健婦
栄養士,49739,2501,47238,栄養士
看護婦，看護士,530905,13255,517650,18看護婦，看護士
あん摩マッサージ指圧師，はり師，きゅう師，柔道整復師,73431,51202,22229,24あん摩マッサージ指圧師，はり師，きゅう師，柔道整復師
臨床・衛生検査技師,40160,17440,22720,20臨床・衛生検査技師
法務従事者,43436,40130,3306,(5)法務従事者
裁判官，検察官，弁護士,15931,15396,535,28裁判官，検察官，弁護士
公認会計士，税理士,41016,39585,1431,(6)公認会計士，税理士
公認会計士，税理士,41016,39585,1431,30公認会計士，税理士
教員,1296857,741955,554902,(7)教員
幼稚園教員,96238,5204,91034,31幼稚園教員
小学校教員,466457,201182,265275,32小学校教員
中学校教員,249397,167313,82084,33中学校教員
高等学校教員,270024,214566,55458,34高等学校教員
大学教員,114633,96410,18223,35大学教員
盲学校・ろう聾学校・養護学校教員,32684,16271,16413,36盲学校・ろう(聾)学校・養護学校教員
宗教家,112608,91166,21442,(8)宗教家
宗教家,112608,91166,21442,38宗教家
文芸家，記者，編集者,101621,84650,16971,(9)文芸家，記者，編集者
文芸家，著述家,23502,18063,5439,39文芸家，著述家
記者，編集者,78120,66587,11533,40記者，編集者
美術家，写真家，デザイナー,161855,117408,44447,(10)美術家，写真家，デザイナー
彫刻家，画家，工芸美術家,22518,17452,5066,41彫刻家，画家，工芸美術家
デザイナー,92936,58074,34862,42デザイナー
写真家，カメラマン,46400,41881,4519,43写真家，カメラマン
音楽家，舞台芸術家,136017,53224,82793,(11)音楽家，舞台芸術家
音楽家,94172,27110,67062,45音楽家
俳優，舞踊家，演芸家,41845,26114,15731,46俳優，舞踊家，演芸家
保母、保父,231093,1132,229961,保母、保父
社会福祉事業専門職員,107921,43691,64230,社会福祉事業専門職員
