職業,総数,男,女,old_title
調理人,1663459,791147,872312,87調理人
バーテンダー,16557,14919,1638,88バーテンダー
接客・給仕職業従事者,1417451,360962,1056489,(25)接客・給仕職業従事者
飲食物給仕・身の回り世話係,906795,180505,726290,89飲食物給仕・身の回り世話係
接客社交係,94850,5040,89810,90接客社交係
芸者，ダンサー,9210,116,9094,91芸者，ダンサー
娯楽場等の接客員,349817,138008,211809,92娯楽場等の接客員
旅館主・支配人・番頭,56779,37293,19486,93旅館主・支配人・番頭
居住施設・ビル等管理人,172764,101524,71240,(26)居住施設・ビル等管理人
マンション・アパート・下宿・寄宿舎・寮の管理人,93188,39205,53983,94マンション・アパート・下宿・寄宿舎・寮の管理人
ビル管理人,35031,27047,7984,95ビル管理人
駐車場管理人,44545,35272,9273,96駐車場管理人
旅行・観光案内人,23639,15512,8127,97旅行・観光案内人
物品一時預り人，賃貸人,62837,37131,25706,98物品一時預り人，賃貸人
広告宣伝員,48046,6194,41852,99広告宣伝員
他に分類されないサービス職業従事者,137834,42323,95511,100他に分類されないサービス職業従事者
保安職業従事者,871219,843149,28070,Ｆ保安職業従事者
保安職業従事者,871219,843149,28070,(28)保安職業従事者
自衛官,250268,242588,7680,101自衛官
警察官，海上保安官,237101,229308,7793,102警察官，海上保安官
消防員,127606,126686,920,104消防員
警備員,217185,211612,5573,105警備員
農林漁業作業者,4356722,2404084,1952638,Ｇ農林漁業作業者
農業作業者,3916084,2053168,1862916,(29)農業作業者
農耕・養蚕作業者,3503932,1784658,1719274,107農耕・養蚕作業者
養畜作業者,302138,171774,130364,108養畜作業者
植木職，造園師,104723,93040,11683,109植木職，造園師
林業作業者,100497,86243,14254,(30)林業作業者
育林作業者,58423,47575,10848,111育林作業者
伐木・造材作業者,28829,27013,1816,112伐木・造材作業者
集材・運材作業者,7657,7147,510,113集材・運材作業者
製炭・製薪作業者,2129,1563,566,114製炭・製薪作業者
漁業作業者,340141,264673,75468,(31)漁業作業者
漁ろう作業者,180823,157205,23618,116漁ろう作業者
海草・貝採取作業者,32832,21996,10836,117海草・貝採取作業者
漁ろう船の船長・航海士・機関長・機関士,29028,29004,24,118漁ろう船の船長・航海士・機関長・機関士
水産養殖作業者,84356,53505,30851,119水産養殖作業者
運輸・通信従事者,2330567,2217407,113160,Ｈ運輸・通信従事者
鉄道運転従事者,43501,43497,4,(32)鉄道運転従事者
電気・ディーゼル・蒸気機関士,3228,3228,-,121電気・ディーゼル・蒸気機関士
電車・気動車運転士,40273,40269,4,122電車・気動車運転士
自動車運転者,1907987,1883898,24089,(33)自動車運転者
自動車運転者,1907987,1883898,24089,123自動車運転者
船舶・航空機運転従事者,54421,53843,578,(34)船舶・航空機運転従事者
船長・航海士・運転士漁ろう船を除く，水先人,29442,29272,170,124船長・航海士・運転士(漁ろう船を除く)，水先人
船舶機関長・機関士漁ろう船を除く,19113,18719,394,125船舶機関長・機関士(漁ろう船を除く)
航空機操縦士，航空機関士,5866,5852,14,126航空機操縦士，航空機関士
車掌,46321,25005,21316,127車掌
操車掛，信号掛，転てつ手，連結手,8048,8048,-,128操車掛，信号掛，転てつ手，連結手
甲板員・船舶技士,23194,22869,325,129甲板員・船舶技士
船舶機関員,4828,4799,29,130船舶機関員
他に分類されない運輸従事者,63156,62085,1071,131他に分類されない運輸従事者
通信従事者,179111,113363,65748,(36)通信従事者
無線通信・無線技術従事者,19399,18476,923,132無線通信・無線技術従事者
有線通信員,5718,4771,947,133有線通信員
電話交換手,60218,2516,57702,134電話交換手
郵便・電報外務員,89083,83251,5832,135郵便・電報外務員
技能工，採掘・製造・建設作業者及び労務作業者,18948615,13107843,5840772,Ｉ技能工，採掘・製造・建設作業者及び労務作業者
採掘作業者,43618,42197,1421,Ｉ－１採掘作業者
採掘作業者,43618,42197,1421,(37)採掘作業者
採鉱員,2862,2786,76,137採鉱員
採炭員,3522,3522,-,138採炭員
石切出作業員,4417,4270,147,139石切出作業員
砂利・砂・粘土採取作業者,8542,8162,380,140砂利・砂・粘土採取作業者
支柱員,783,783,-,141支柱員
坑内運搬員,885,885,-,142坑内運搬員
選鉱員，選炭員,1561,1235,326,143選鉱員，選炭員
窯業・土石製品・金属材料・化学製品製造作業者,945607,767484,178123,Ｉ－２窯業・土石製品・金属材料・化学製品製造作業者
窯業・土石製品製造作業者,370916,271897,99019,(38)窯業・土石製品製造作業者
窯業原料工,6561,5664,897,145窯業原料工
ガラス製品成形工,25675,22111,3564,146ガラス製品成形工
れんが・かわら・土管製造工,16098,12073,4025,147れんが・かわら・土管製造工
陶磁器工,55449,34229,21220,148陶磁器工
窯業絵付工,18571,4392,14179,149窯業絵付工
セメント製造工,6000,5774,226,150セメント製造工
セメント製品製造工,64083,53451,10632,151セメント製品製造工
石工,57305,50372,6933,152石工
金属材料製造作業者,289198,267372,21826,(39)金属材料製造作業者
製銑工，製鋼工,46684,45864,820,154製銑工，製鋼工
非鉄金属製錬工,17894,17249,645,155非鉄金属製錬工
鋳物工,57965,52453,5512,156鋳物工
鍛造工,18426,17465,961,157鍛造工
金属熱処理工,21341,20279,1062,158金属熱処理工
圧延工,43400,42267,1133,159圧延工
伸線工,7996,7361,635,160伸線工
化学製品製造作業者,285493,228215,57278,(40)化学製品製造作業者
化学工,148157,133849,14308,162化学工
油脂加工工,5730,4690,1040,163油脂加工工
金属製品・機械製造作業者,5441850,4069638,1372212,Ｉ－３金属製品・機械製造作業者
金属加工作業者,2026869,1674551,352318,(41)金属加工作業者
金属工作機械工,341100,297574,43526,165金属工作機械工
金属プレス工,176322,136648,39674,166金属プレス工
金属溶接・溶断工,316808,294917,21891,167金属溶接・溶断工
鉄工，びょう打工，製缶工,111038,109544,1494,168鉄工，びょう打工，製缶工
板金工,139612,129111,10501,169板金工
金属彫刻工,7339,5415,1924,170金属彫刻工
めっき工,48136,40799,7337,171めっき工
一般機械器具組立・修理作業者,932350,808859,123491,(42)一般機械器具組立・修理作業者
一般機械器具組立工,551463,435501,115962,173一般機械器具組立工
一般機械器具修理工,380887,373358,7529,174一般機械器具修理工
電気機械器具組立・修理作業者,1560439,779385,781054,(43)電気機械器具組立・修理作業者
電気機械器具組立工,885481,375234,510247,175電気機械器具組立工
電気機械器具修理工,144649,139245,5404,176電気機械器具修理工
電球・真空管組立工,27797,16410,11387,177電球・真空管組立工
被覆電線製造工,27346,18016,9330,178被覆電線製造工
半導体製品製造工,98728,65879,32849,179半導体製品製造工
輸送機械組立・修理作業者,725603,701091,24512,(44)輸送機械組立・修理作業者
自動車組立工,119231,113271,5960,181自動車組立工
自動車整備工,436529,429557,6972,182自動車整備工
航空機組立工・整備工,21513,21018,495,183航空機組立工・整備工
鉄道車両組立工・修理工,28227,27928,299,184鉄道車両組立工・修理工
自転車組立工・修理工,30499,26036,4463,185自転車組立工・修理工
船舶ぎ装工他に分類されないもの,16636,16404,232,186船舶ぎ装工(他に分類されないもの)
時計・計器・光学機械器具組立・修理作業者,196589,105752,90837,(45)時計・計器・光学機械器具組立・修理作業者
時計組立工・修理工,12260,7448,4812,188時計組立工・修理工
レンズ研磨工・調整工,20387,12233,8154,189レンズ研磨工・調整工
光学機械器具組立工・修理工,42346,17595,24751,190光学機械器具組立工・修理工
計器組立工・調整工,58528,36037,22491,191計器組立工・調整工
食料品製造作業者,975387,433071,542316,(46)食料品製造作業者
精穀工，製粉工,19904,15396,4508,193精穀工，製粉工
製糖工,2853,2306,547,194製糖工
みそ・しょう油製造工,12913,8749,4164,195みそ・しょう油製造工
動植物油脂製造工,4047,3574,473,196動植物油脂製造工
めん類製造工,42078,19051,23027,197めん類製造工
パン・菓子製造工,266503,150271,116232,198パン・菓子製造工
豆腐・こんにゃく・ふ製造工,57596,28065,29531,199豆腐・こんにゃく・ふ製造工
缶詰・瓶詰食品製造工,16215,3828,12387,200缶詰・瓶詰食品製造工
乳・乳製品製造工,16541,12806,3735,201乳・乳製品製造工
水産物加工工,145378,46530,98848,202水産物加工工
飲料・たばこ製造作業者,52129,34234,17895,(47)飲料・たばこ製造作業者
製茶工,6507,4495,2012,204製茶工
酒類製造工,14864,11842,3022,205酒類製造工
清涼飲料製造工,9345,7118,2227,206清涼飲料製造工
たばこ製造工,5100,2658,2442,207たばこ製造工
製糸・紡織作業者,429793,184902,244891,(48)製糸・紡織作業者
繰糸工,3318,669,2649,209繰糸工
粗紡工，精紡工,31796,9992,21804,210粗紡工，精紡工
合糸工，ねん糸工，加工糸工,26281,10896,15385,211合糸工，ねん糸工，加工糸工
揚返工，かせ取工,2738,501,2237,212揚返工，かせ取工
織機準備工,13691,5387,8304,213織機準備工
織布工,108445,39161,69284,214織布工
漂白工，精練工,11012,7847,3165,215漂白工，精練工
染色工,66619,46450,20169,216染色工
編物工，編立工,45522,19518,26004,217編物工，編立工
製鋼工，製網工繊維製,15553,5833,9720,218製鋼工，製網工(繊維製)
衣服・繊維製品製造作業者,1093547,187897,905650,(49)衣服・繊維製品製造作業者
婦人・子供服仕立工,44233,6200,38033,220婦人・子供服仕立工
男子服仕立工,31602,21511,10091,221男子服仕立工
和服仕立工,47372,2783,44589,222和服仕立工
刺しゅう工,22796,6422,16374,223刺しゅう工
ミシン縫製工,670758,73291,597467,224ミシン縫製工
裁断工,60833,31291,29542,225裁断工
木・竹・草・つる製品製造作業者,465612,349170,116442,(50)木・竹・草・つる製品製造作業者
製材工,81093,67358,13735,227製材工
チップ製造工,3398,2524,874,228チップ製造工
合板工,35372,24291,11081,229合板工
木工,48935,37078,11857,230木工
木製家具・建具製造工,200665,157781,42884,231木製家具・建具製造工
船大工,4753,4753,-,232船大工
竹細工工,8638,4999,3639,233竹細工工
草・つる製品製造工,16865,9122,7743,234草・つる製品製造工
パルプ・紙・紙製品製造作業者,206442,127007,79435,(51)パルプ・紙・紙製品製造作業者
パルプ工，紙料工,13493,12594,899,236パルプ工，紙料工
紙すき工,26500,22125,4375,237紙すき工
紙器製造工,64548,31585,32963,238紙器製造工
紙製品製造工,18300,7082,11218,239紙製品製造工
印刷・製本作業者,425597,298987,126610,(52)印刷・製本作業者
文選工，文字組版作業者,45742,25521,20221,241文選工，文字組版作業者
製版工,44610,35127,9483,242製版工
印刷工,217808,177243,40565,243印刷工
製本工,48399,24092,24307,244製本工
ゴム・プラスチック製品製造作業者,472592,290349,182243,(53)ゴム・プラスチック製品製造作業者
ゴム工,7157,6432,725,246ゴム工
ゴム製品成形工,81648,62760,18888,247ゴム製品成形工
プラスチック製品成形工・加工工・仕上工,271145,174797,96348,248プラスチック製品成形工・加工工・仕上工
革・革製品製造作業者,85389,42963,42426,(54)革・革製品製造作業者
製革工,8786,6096,2690,250製革工
靴製造工・修理工,57479,28461,29018,251靴製造工・修理工
かばん・袋物製造工,44984,17221,27763,253かばん・袋物製造工
がん具製造工,23304,7659,15645,254がん具製造工
和傘・ちょうちん・うちわ製造工,2467,1025,1442,255和傘・ちょうちん・うちわ製造工
洋傘組立工,2779,1148,1631,256洋傘組立工
漆塗師，まき絵師,18358,10887,7471,257漆塗師，まき絵師
貴金属・宝石・甲・角等細工工,35859,22741,13118,258貴金属・宝石・甲・角等細工工
印判師,10716,8301,2415,259印判師
内張工,17417,12418,4999,260内張工
表具師,74803,64717,10086,261表具師
塗装工，画工，看板工,364911,321637,43274,262塗装工，画工，看板工
写真現像・焼付・引伸し工,27524,17533,9991,263写真現像・焼付・引伸し工
製図工，写図工,334235,243340,90895,264製図工，写図工
現図工,3776,3585,191,265現図工
包装工,416486,48199,368287,266包装工
他に分類されない技能工・生産工程作業者,254022,124684,129338,267他に分類されない技能工・生産工程作業者
定置機関運転・建設機械運転・電気作業者,966574,957923,8651,Ｉ－５定置機関運転・建設機械運転・電気作業者
