職業,総数,男,女,old_title
総数,43719070,26601750,17117320,総数
専門的・技術的職業従事者,2172190,1404930,767260,Ａ専門的・技術的職業従事者
技術者,333630,331230,2400,(2)技術者
鉱山技術者,8070,8070,0,3鉱山技術者
や金技術者,9380,9340,40,や金技術者
機械技術者,61390,61330,60,5機械技術者
電気技術者,51310,51180,130,6電気技術者
化学技術者,23870,23090,780,7化学技術者
土木・建築技術者,103160,102890,270,土木・建築技術者
農林技術者,52570,52050,520,10農林技術者
教員,803130,525160,277970,(7)教員
小学校教員,359940,198740,161200,32小学校教員
中学校教員,204460,158650,45810,33中学校教員
高等学校教員,137570,112700,24870,34高等学校教員
特殊学校・幼稚園教員,28930,4580,24350,特殊学校・幼稚園教員
大学教員,41580,37290,4290,大学教員
医療保険技術者,561110,218300,342810,医療保険技術者
医師,100300,90690,9610,12医師
歯科医師,32910,28800,4110,13歯科医師
薬剤師,35260,21320,13940,15薬剤師
助産婦,22970,0,22970,助産婦
保健婦,13620,0,13620,保健婦
看護婦，看護人,197670,3410,194260,18看護婦，看護人
あん摩マッサージ指圧師，はり師，きゅう師，柔道整復師,52510,35700,16810,24あん摩マッサージ指圧師，はり師，きゅう師，柔道整復師
獣医師,8970,8940,30,獣医師
芸術家・芸能家,75060,49220,25840,芸術家・芸能家
美術家,9850,9310,540,美術家
デザイナー,15620,10380,5240,デザイナー
音楽家,22780,14250,8530,音楽家
俳優、舞踏家、演芸家,26810,15280,11530,俳優、舞踏家、演芸家
文芸家、著述家、記者,53580,49870,3710,文芸家、著述家、記者
科学研究者,32370,30090,2280,科学研究者
裁判官，検察官，弁護士,9790,9670,120,28裁判官，検察官，弁護士
公認会計士、税理士、弁理士,12890,12670,220,公認会計士、税理士、弁理士
宗教家,111190,89730,21460,宗教家
保母,45000,0,45000,保母
社会福祉事業専門職員,15040,9890,5150,社会福祉事業専門職員
写真師,21160,19950,1210,写真師
管理的職業従事者,983660,943250,40410,管理的職業従事者
管理的職業従事者,983660,943250,40410,管理的職業従事者
管理的公務員,77610,77010,600,53管理的公務員
会社役員,509300,480580,28720,54会社役員
駅長、区長,7720,7710,10,駅長、区長
郵便局長,13550,13140,410,郵便局長
事務従事者,4515930,2832040,1683890,Ｃ事務従事者
一般事務従事者,4328600,2652400,1676200,(16)一般事務従事者
一般事務員,3009500,2030590,978910,58一般事務員
会計事務員,1229100,621810,607290,59会計事務員
郵便・通信事務員,47000,39070,7930,63郵便・通信事務員
駅務員,72920,69010,3910,駅務員
速記者，タイピスト,69860,2870,66990,64速記者，タイピスト
集金人,87550,68690,18860,60集金人
販売従事者,4635470,2689210,1946260,Ｄ販売従事者
商品販売従事者,4294730,2438090,1856640,(20)商品販売従事者
小売店主,1147500,790310,357190,67小売店主
卸売店主,175010,165790,9220,68卸売店主
飲食店主,189430,86740,102690,69飲食店主
販売店員,2274730,997760,1276970,70販売店員
行商、露天商,216880,127180,89700,行商、露天商
外交員,290180,270310,19870,外交員
商品仲立人,54450,50540,3910,74商品仲立人
保険代理人・外交員,97230,52050,45180,76保険代理人・外交員
不動産,37640,30990,6650,不動産
質屋店主・店員,26570,14650,11920,77質屋店主・店員
農林漁業作業者,14172390,6851280,7321110,Ｇ農林漁業作業者
農業作業者,13592750,6346000,7246750,(29)農業作業者
